Start date,End date,Start station,End station,Bike number,Member type
2017-11-04 21:43:00,2017-11-04 21:55:00,Station A,Station B,W20529,Member
2017-11-24 08:09:00,2017-11-24 08:45:00,Station B,Station A,W20529,Member
2017-10-06 19:36:00,2017-10-06 20:13:00,Station A,Station C,W20529,Casual
2017-12-04 06:58:00,2017-12-04 07:39:00,Station A,Station A,W20529,Member
2017-12-15 09:10:00,2017-12-15 09:56:00,Station B,Station A,W20529,Member
2017-10-17 10:31:00,2017-10-17 11:29:00,Station A,Station A,W20529,Member
2017-11-09 10:36:00,2017-11-09 11:11:00,Station B,Station B,W20529,Member
2017-10-13 10:21:00,2017-10-13 10:47:00,Station A,Station A,W20529,Member
2017-11-11 18:11:00,2017-11-11 19:00:00,Station C,Station B,W20529,Member
2017-11-16 15:02:00,2017-11-16 15:25:00,Station C,Station B,W20529,Casual
2017-11-25 08:03:00,2017-11-25 08:34:00,Station A,Station A,W20529,Casual
2017-12-26 21:48:00,2017-12-26 22:01:00,Station A,Station A,W20529,Member
2017-10-28 07:41:00,2017-10-28 07:52:00,Station A,Station A,W20529,Member
2017-11-10 07:29:00,2017-11-10 08:27:00,Station C,Station C,W20529,Member
2017-10-04 20:15:00,2017-10-04 21:06:00,Station A,Station A,W20529,Casual
2017-11-30 10:31:00,2017-11-30 11:15:00,Station C,Station B,W20529,Member
2017-11-19 08:58:00,2017-11-19 09:28:00,Station B,Station A,W20529,Casual
2017-12-10 21:53:00,2017-12-10 22:11:00,Station C,Station C,W20529,Member
2017-11-24 20:05:00,2017-11-24 20:22:00,Station C,Station A,W20529,Member
2017-10-18 06:19:00,2017-10-18 06:41:00,Station B,Station C,W20529,Member
2017-11-05 01:56:50,2017-11-06 02:26:00,Station C,Station C,W20529,Member
2017-11-02 10:32:00,2017-11-02 11:17:00,Station A,Station A,W20529,Casual
2017-10-13 18:04:00,2017-10-13 18:47:00,Station A,Station B,W20529,Casual
2017-12-29 18:11:00,2017-12-29 18:34:00,Station C,Station C,W20529,Member
2017-10-01 19:42:00,2017-10-01 20:39:00,Station A,Station A,W20529,Member
2017-12-06 18:04:00,2017-12-06 18:50:00,Station C,Station A,W20529,Casual
2017-11-02 07:51:00,2017-11-02 08:28:00,Station A,Station B,W20529,Casual
2017-11-26 11:03:00,2017-11-26 11:43:00,Station A,Station C,W20529,Casual
2017-10-29 11:43:00,2017-10-29 12:13:00,Station C,Station C,W20529,Casual
2017-11-28 20:28:00,2017-11-28 20:50:00,Station A,Station A,W20529,Member
2017-10-11 17:45:00,2017-10-11 18:12:00,Station C,Station A,W20529,Casual
2017-11-21 18:29:00,2017-11-21 19:16:00,Station A,Station B,W20529,Member
2017-11-17 12:01:00,2017-11-17 12:11:00,Station A,Station B,W20529,Casual
2017-10-10 06:38:00,2017-10-10 06:53:00,Station B,Station C,W20529,Casual
2017-10-29 14:54:00,2017-10-29 15:06:00,Station B,Station C,W20529,Casual
2017-10-23 12:45:00,2017-10-23 12:57:00,Station C,Station A,W20529,Casual
2017-10-21 07:17:00,2017-10-21 08:09:00,Station B,Station C,W20529,Casual
2017-10-15 20:48:00,2017-10-15 21:33:00,Station C,Station B,W20529,Member
2017-11-27 19:48:00,2017-11-27 20:21:00,Station B,Station B,W20529,Member
2017-10-17 20:32:00,2017-10-17 20:46:00,Station A,Station A,W20529,Casual
2017-12-13 20:19:00,2017-12-13 20:53:00,Station C,Station B,W20529,Casual
2017-10-11 09:25:00,2017-10-11 09:58:00,Station C,Station B,W20529,Member
2017-12-14 19:00:00,2017-12-14 19:18:00,Station A,Station B,W20529,Casual
2017-11-16 12:13:00,2017-11-16 12:44:00,Station C,Station B,W20529,Casual
2017-10-11 11:56:00,2017-10-11 12:25:00,Station C,Station A,W20529,Member
2017-10-30 14:42:00,2017-10-30 15:22:00,Station B,Station A,W20529,Casual
2017-11-03 21:57:00,2017-11-03 22:38:00,Station C,Station C,W20529,Casual
2017-10-23 13:18:00,2017-10-23 13:30:00,Station A,Station B,W20529,Member
2017-10-26 06:36:00,2017-10-26 07:04:00,Station B,Station C,W20529,Member
2017-11-15 06:16:00,2017-11-15 06:57:00,Station B,Station A,W20529,Member
2017-12-22 09:08:00,2017-12-22 09:43:00,Station A,Station A,W20529,Casual
2017-11-14 21:14:00,2017-11-14 22:06:00,Station A,Station A,W20529,Member
2017-12-01 18:14:00,2017-12-01 18:56:00,Station B,Station A,W20529,Member
2017-12-06 11:37:00,2017-12-06 11:55:00,Station C,Station A,W20529,Member
2017-11-27 14:05:00,2017-11-27 14:18:00,Station B,Station A,W20529,Member
2017-12-16 11:11:00,2017-12-16 11:53:00,Station A,Station A,W20529,Member
2017-10-04 15:40:00,2017-10-04 15:51:00,Station B,Station B,W20529,Member
2017-10-02 14:13:00,2017-10-02 14:52:00,Station A,Station C,W20529,Casual
2017-11-28 08:41:00,2017-11-28 09:38:00,Station B,Station A,W20529,Casual
2017-11-05 20:08:00,2017-11-05 20:46:00,Station C,Station B,W20529,Member
2017-11-01 07:55:00,2017-11-01 08:24:00,Station B,Station B,W20529,Member
2017-12-19 10:39:00,2017-12-19 11:21:00,Station B,Station C,W20529,Member
2017-12-14 14:31:00,2017-12-14 15:03:00,Station A,Station A,W20529,Casual
2017-10-23 07:53:00,2017-10-23 08:30:00,Station A,Station C,W20529,Casual
2017-12-21 16:20:00,2017-12-21 17:17:00,Station A,Station A,W20529,Casual
2017-11-01 17:53:00,2017-11-01 18:22:00,Station B,Station B,W20529,Casual
2017-12-20 18:38:00,2017-12-20 19:36:00,Station C,Station B,W20529,Casual
2017-10-08 08:53:00,2017-10-08 09:48:00,Station A,Station B,W20529,Casual
2017-11-25 06:06:00,2017-11-25 06:25:00,Station A,Station B,W20529,Casual
2017-11-30 06:09:00,2017-11-30 06:22:00,Station B,Station C,W20529,Casual
2017-11-19 17:39:00,2017-11-19 17:54:00,Station A,Station A,W20529,Casual
2017-10-21 17:14:00,2017-10-21 17:24:00,Station C,Station A,W20529,Member
2017-10-30 17:38:00,2017-10-30 17:52:00,Station C,Station C,W20529,Member
2017-12-17 16:34:00,2017-12-17 17:18:00,Station A,Station A,W20529,Member
2017-10-09 11:15:00,2017-10-09 11:28:00,Station A,Station B,W20529,Member
2017-10-23 21:23:00,2017-10-23 21:48:00,Station B,Station A,W20529,Casual
2017-12-21 16:47:00,2017-12-21 17:39:00,Station C,Station B,W20529,Casual
2017-11-15 15:29:00,2017-11-15 15:40:00,Station C,Station C,W20529,Member
2017-10-18 17:16:00,2017-10-18 18:06:00,Station A,Station A,W20529,Casual
2017-10-03 16:10:00,2017-10-03 16:34:00,Station B,Station C,W20529,Member
2017-12-25 21:54:00,2017-12-25 22:09:00,Station C,Station A,W20529,Casual
2017-11-03 06:55:00,2017-11-03 07:39:00,Station C,Station B,W20529,Member
2017-11-08 21:57:00,2017-11-08 22:38:00,Station B,Station C,W20529,Casual
2017-12-17 10:23:00,2017-12-17 11:16:00,Station B,Station A,W20529,Casual
2017-12-17 11:10:00,2017-12-17 11:56:00,Station C,Station B,W20529,Member
2017-11-20 20:41:00,2017-11-20 21:31:00,Station C,Station C,W20529,Casual
2017-11-21 07:36:00,2017-11-21 08:00:00,Station B,Station C,W20529,Member
2017-12-30 08:31:00,2017-12-30 08:49:00,Station C,Station A,W20529,Member
2017-12-19 17:41:00,2017-12-19 18:28:00,Station A,Station A,W20529,Member
2017-12-03 11:17:00,2017-12-03 12:07:00,Station A,Station A,W20529,Member
2017-12-13 18:52:00,2017-12-13 19:51:00,Station B,Station B,W20529,Casual
2017-12-23 14:30:00,2017-12-23 15:00:00,Station B,Station A,W20529,Casual
2017-12-12 16:42:00,2017-12-12 17:10:00,Station B,Station C,W20529,Casual
2017-12-12 20:20:00,2017-12-12 21:08:00,Station A,Station C,W20529,Member
2017-11-04 07:34:00,2017-11-04 08:01:00,Station C,Station A,W20529,Casual
2017-10-04 13:32:00,2017-10-04 14:28:00,Station A,Station A,W20529,Member
2017-10-27 15:01:00,2017-10-27 15:53:00,Station C,Station C,W20529,Casual
2017-10-04 19:21:00,2017-10-04 19:52:00,Station A,Station B,W20529,Casual
2017-10-12 14:46:00,2017-10-12 15:33:00,Station C,Station A,W20529,Casual
2017-10-20 15:05:00,2017-10-20 15:52:00,Station A,Station A,W20529,Member
